date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:39	133186/133186	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Dec%202020%2001:41:27%20GMT	https://demo.softhopper.studio/selfer/	D:/Theme1/Theme1/demo.softhopper.studio/selfer/index.html	(from )
09:36:39	117/117	---M-Z	200	added ('OK')	text/plain	date:Thu,%2024%20Dec%202020%2002:36:39%20GMT	https://demo.softhopper.studio/robots.txt		(from )
09:36:40	76084/76084	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202020%2003:01:22%20GMT	https://demo.softhopper.studio/selfer/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.html	(from https://demo.softhopper.studio/selfer/)
09:36:40	75936/75936	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Oct%202020%2003:01:22%20GMT	https://demo.softhopper.studio/selfer/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.html	(from https://demo.softhopper.studio/selfer/)
09:36:40	2218/2218	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jul%202020%2014:43:35%20GMT	https://demo.softhopper.studio/selfer/wp-includes/css/dist/block-library/theme.min.css	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-includes/css/dist/block-library/theme.min.css	(from https://demo.softhopper.studio/selfer/)
09:36:40	1920/1920	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Oct%202020%2003:01:03%20GMT	https://demo.softhopper.studio/selfer/wp-content/plugins/contact-form-7/includes/css/styles.css	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://demo.softhopper.studio/selfer/)
09:36:40	142041/142041	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Jul%202018%2013:22:46%20GMT	https://demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/bootstrap/css/bootstrap.min.css	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/bootstrap/css/bootstrap.min.css	(from https://demo.softhopper.studio/selfer/)
09:36:41	34734/34734	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Jan%202018%2003:26:06%20GMT	https://demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/font-awesome/css/fontawesome-all.min.css	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/font-awesome/css/fontawesome-all.min.css	(from https://demo.softhopper.studio/selfer/)
09:36:41	6153/6153	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2006:41:52%20GMT	https://demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/css/magnific-popup.css	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/css/magnific-popup.css	(from https://demo.softhopper.studio/selfer/)
09:36:41	3563/3563	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Jul%202018%2016:14:08%20GMT	https://demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/css/odometer-theme-default.css	D:/Theme1/Theme1/demo.softhopper.studio/selfer/wp-content/themes/selfer/assets/css/odometer-theme-default.css	(from https://demo.softhopper.studio/selfer/)
